model,metric,class,estimate,ci_lower,ci_upper,formatted
Decision Tree,accuracy,-,0.9301310043668122,0.8951965065502183,0.9606986899563319,0.930 (0.895-0.961)
Decision Tree,macro_auc,-,0.9502105996335057,0.9171635098101543,0.9792798227135793,0.950 (0.917-0.979)
Decision Tree,macro_f1,-,0.9089990810767046,0.8660875122836346,0.9495786142623078,0.909 (0.866-0.950)
Decision Tree,weighted_f1,-,0.9277150861263906,0.8900266720341691,0.9599345089550817,0.928 (0.890-0.960)
Decision Tree,sensitivity,对照组,0.975,0.9406572575506563,1.0,0.975 (0.941-1.000)
Decision Tree,specificity,对照组,0.8899082568807339,0.8252427184466019,0.9459580115830115,0.890 (0.825-0.946)
Decision Tree,ppv,对照组,0.9069767441860465,0.8527068242470454,0.9545454545454546,0.907 (0.853-0.955)
Decision Tree,npv,对照组,0.97,0.9306815565277459,1.0,0.970 (0.931-1.000)
Decision Tree,sensitivity,静止型地贫,0.7209302325581395,0.5869377811094453,0.8518970189701897,0.721 (0.587-0.852)
Decision Tree,specificity,静止型地贫,0.978494623655914,0.9545389610389611,0.9947923413212435,0.978 (0.955-0.995)
Decision Tree,ppv,静止型地贫,0.8857142857142857,0.7691176470588236,0.974375,0.886 (0.769-0.974)
Decision Tree,npv,静止型地贫,0.9381443298969072,0.900523560209424,0.9695469927703431,0.938 (0.901-0.970)
Decision Tree,sensitivity,非静止型地贫,0.9848484848484849,0.9523809523809523,1.0,0.985 (0.952-1.000)
Decision Tree,specificity,非静止型地贫,1.0,1.0,1.0,1.000 (1.000-1.000)
Decision Tree,ppv,非静止型地贫,1.0,1.0,1.0,1.000 (1.000-1.000)
Decision Tree,npv,非静止型地贫,0.9939024390243902,0.98125,1.0,0.994 (0.981-1.000)
