model,metric,class,estimate,ci_lower,ci_upper,formatted
LR,accuracy,-,0.9344978165938864,0.9039301310043668,0.9650655021834061,0.934 (0.904-0.965)
LR,macro_auc,-,0.9795925281014443,0.9617117684778366,0.9939247007746431,0.980 (0.962-0.994)
LR,macro_f1,-,0.9167568859742881,0.8737908389208826,0.9545998861399827,0.917 (0.874-0.955)
LR,weighted_f1,-,0.9332050303513579,0.8994143879240358,0.9648348672682057,0.933 (0.899-0.965)
LR,sensitivity,对照组,0.9666666666666667,0.9327731092436975,0.9922495527728086,0.967 (0.933-0.992)
LR,specificity,对照组,0.908256880733945,0.8508552631578947,0.9578947368421052,0.908 (0.851-0.958)
LR,ppv,对照组,0.9206349206349206,0.8699186991869918,0.9618320610687023,0.921 (0.870-0.962)
LR,npv,对照组,0.9611650485436893,0.9215686274509803,0.9910753446115288,0.961 (0.922-0.991)
LR,sensitivity,静止型地贫,0.7674418604651163,0.6363636363636364,0.8913043478260869,0.767 (0.636-0.891)
LR,specificity,静止型地贫,0.9731182795698925,0.9476370901074676,0.9945666783543712,0.973 (0.948-0.995)
LR,ppv,静止型地贫,0.868421052631579,0.7498670212765958,0.9643452380952381,0.868 (0.750-0.964)
LR,npv,静止型地贫,0.9476439790575916,0.9137007820002744,0.9750031094527363,0.948 (0.914-0.975)
LR,sensitivity,非静止型地贫,0.9848484848484849,0.9506018518518519,1.0,0.985 (0.951-1.000)
LR,specificity,非静止型地贫,1.0,1.0,1.0,1.000 (1.000-1.000)
LR,ppv,非静止型地贫,1.0,1.0,1.0,1.000 (1.000-1.000)
LR,npv,非静止型地贫,0.9939024390243902,0.9806420192710514,1.0,0.994 (0.981-1.000)
