model,metric,class,estimate,ci_lower,ci_upper,formatted
LightGBM,accuracy,-,0.9170305676855895,0.8777292576419214,0.9519650655021834,0.917 (0.878-0.952)
LightGBM,macro_auc,-,0.9857456145381911,0.9743813064785287,0.9944399284141645,0.986 (0.974-0.994)
LightGBM,macro_f1,-,0.8932756985984014,0.8476744365837504,0.9349159411560686,0.893 (0.848-0.935)
LightGBM,weighted_f1,-,0.9136607307473609,0.8715903265044982,0.9498576898635838,0.914 (0.872-0.950)
LightGBM,sensitivity,对照组,0.9666666666666667,0.9310144346431435,0.9920634920634921,0.967 (0.931-0.992)
LightGBM,specificity,对照组,0.8623853211009175,0.7908982683982684,0.9217539046010975,0.862 (0.791-0.922)
LightGBM,ppv,对照组,0.8854961832061069,0.8267545361177678,0.9366417253521127,0.885 (0.827-0.937)
LightGBM,npv,对照组,0.9591836734693877,0.9166666666666666,0.9903846153846154,0.959 (0.917-0.990)
LightGBM,sensitivity,静止型地贫,0.6744186046511628,0.5318523153942428,0.8096345514950165,0.674 (0.532-0.810)
LightGBM,specificity,静止型地贫,0.978494623655914,0.9560439560439561,0.9948193205491159,0.978 (0.956-0.995)
LightGBM,ppv,静止型地贫,0.8787878787878788,0.75,0.972972972972973,0.879 (0.750-0.973)
LightGBM,npv,静止型地贫,0.9285714285714286,0.8894736842105263,0.9627757558790593,0.929 (0.889-0.963)
LightGBM,sensitivity,非静止型地贫,0.9848484848484849,0.9506018518518519,1.0,0.985 (0.951-1.000)
LightGBM,specificity,非静止型地贫,1.0,1.0,1.0,1.000 (1.000-1.000)
LightGBM,ppv,非静止型地贫,1.0,1.0,1.0,1.000 (1.000-1.000)
LightGBM,npv,非静止型地贫,0.9939024390243902,0.9806420192710514,1.0,0.994 (0.981-1.000)
