model,metric,class,estimate,ci_lower,ci_upper,formatted
MLP,accuracy,-,0.8951965065502183,0.8558951965065502,0.9344978165938864,0.895 (0.856-0.934)
MLP,macro_auc,-,0.9708080390386572,0.9524158876772972,0.9863308826511666,0.971 (0.952-0.986)
MLP,macro_f1,-,0.8547927157218402,0.7972964972326695,0.9033980364597493,0.855 (0.797-0.903)
MLP,weighted_f1,-,0.8883851401179504,0.8418856713697607,0.9297093140827016,0.888 (0.842-0.930)
MLP,sensitivity,对照组,0.975,0.9444220430107527,1.0,0.975 (0.944-1.000)
MLP,specificity,对照组,0.8532110091743119,0.7809461152882206,0.9133877195639007,0.853 (0.781-0.913)
MLP,ppv,对照组,0.8796992481203008,0.8201320910484727,0.9275621118012423,0.880 (0.820-0.928)
MLP,npv,对照组,0.96875,0.9285530191458027,1.0,0.969 (0.929-1.000)
MLP,sensitivity,静止型地贫,0.5813953488372093,0.4222222222222222,0.7234441489361703,0.581 (0.422-0.723)
MLP,specificity,静止型地贫,0.9731182795698925,0.9484469312536723,0.9945953211275792,0.973 (0.948-0.995)
MLP,ppv,静止型地贫,0.8333333333333334,0.6896012931034483,0.96,0.833 (0.690-0.960)
MLP,npv,静止型地贫,0.9095477386934674,0.8666666666666667,0.9466019417475728,0.910 (0.867-0.947)
MLP,sensitivity,非静止型地贫,0.9545454545454546,0.9027493169398907,1.0,0.955 (0.903-1.000)
MLP,specificity,非静止型地贫,0.9815950920245399,0.9597643013753239,1.0,0.982 (0.960-1.000)
MLP,ppv,非静止型地贫,0.9545454545454546,0.8999576271186441,1.0,0.955 (0.900-1.000)
MLP,npv,非静止型地贫,0.9815950920245399,0.9592781007751938,1.0,0.982 (0.959-1.000)
