model,metric,class,estimate,ci_lower,ci_upper,formatted
Random Forest,accuracy,-,0.9170305676855895,0.8820960698689956,0.9519650655021834,0.917 (0.882-0.952)
Random Forest,macro_auc,-,0.9710816274404993,0.9499004034853906,0.9871923479295555,0.971 (0.950-0.987)
Random Forest,macro_f1,-,0.8948759264239518,0.8496588116600298,0.9353041752744883,0.895 (0.850-0.935)
Random Forest,weighted_f1,-,0.9154116840530234,0.8790090015103157,0.9508918753796336,0.915 (0.879-0.951)
Random Forest,sensitivity,对照组,0.95,0.9090909090909091,0.9838709677419355,0.950 (0.909-0.984)
Random Forest,specificity,对照组,0.8899082568807339,0.8252427184466019,0.9459580115830115,0.890 (0.825-0.946)
Random Forest,ppv,对照组,0.9047619047619048,0.850374459771476,0.9532818449290412,0.905 (0.850-0.953)
Random Forest,npv,对照组,0.941747572815534,0.8947241902834008,0.9809568733153639,0.942 (0.895-0.981)
Random Forest,sensitivity,静止型地贫,0.7209302325581395,0.5869377811094453,0.8518970189701897,0.721 (0.587-0.852)
Random Forest,specificity,静止型地贫,0.9623655913978495,0.9358288770053476,0.9887005649717514,0.962 (0.936-0.989)
Random Forest,ppv,静止型地贫,0.8157894736842105,0.6841052631578948,0.9273051948051948,0.816 (0.684-0.927)
Random Forest,npv,静止型地贫,0.93717277486911,0.8989885557704707,0.9695431472081218,0.937 (0.899-0.970)
Random Forest,sensitivity,非静止型地贫,0.9848484848484849,0.9523809523809523,1.0,0.985 (0.952-1.000)
Random Forest,specificity,非静止型地贫,1.0,1.0,1.0,1.000 (1.000-1.000)
Random Forest,ppv,非静止型地贫,1.0,1.0,1.0,1.000 (1.000-1.000)
Random Forest,npv,非静止型地贫,0.9939024390243902,0.98125,1.0,0.994 (0.981-1.000)
