model,metric,class,estimate,ci_lower,ci_upper,formatted
SVC,accuracy,-,0.9301310043668122,0.8951965065502183,0.9608078602620087,0.930 (0.895-0.961)
SVC,macro_auc,-,0.9756402512750763,0.9568411300588434,0.9920048232770657,0.976 (0.957-0.992)
SVC,macro_f1,-,0.9099341087292895,0.8659963947994044,0.9493675915285998,0.910 (0.866-0.949)
SVC,weighted_f1,-,0.9274867290861399,0.8903830490096146,0.9613397221686223,0.927 (0.890-0.961)
SVC,sensitivity,对照组,0.975,0.9448709536307961,1.0,0.975 (0.945-1.000)
SVC,specificity,对照组,0.8899082568807339,0.8288223938223938,0.9459459459459459,0.890 (0.829-0.946)
SVC,ppv,对照组,0.9069767441860465,0.8558362710536623,0.9527651328740158,0.907 (0.856-0.953)
SVC,npv,对照组,0.97,0.9333333333333333,1.0,0.970 (0.933-1.000)
SVC,sensitivity,静止型地贫,0.7209302325581395,0.5813953488372093,0.8536712398373983,0.721 (0.581-0.854)
SVC,specificity,静止型地贫,0.9838709677419355,0.9635368946335078,1.0,0.984 (0.964-1.000)
SVC,ppv,静止型地贫,0.9117647058823529,0.8055555555555556,1.0,0.912 (0.806-1.000)
SVC,npv,静止型地贫,0.9384615384615385,0.9030612244897959,0.9695507996836977,0.938 (0.903-0.970)
SVC,sensitivity,非静止型地贫,0.9848484848484849,0.9506018518518519,1.0,0.985 (0.951-1.000)
SVC,specificity,非静止型地贫,0.9938650306748467,0.9795433815984494,1.0,0.994 (0.980-1.000)
SVC,ppv,非静止型地贫,0.9848484848484849,0.9454545454545454,1.0,0.985 (0.945-1.000)
SVC,npv,非静止型地贫,0.9938650306748467,0.9805194805194806,1.0,0.994 (0.981-1.000)
