model,metric,class,estimate,ci_lower,ci_upper,formatted
XGBoost,accuracy,-,0.9170305676855895,0.8777292576419214,0.9475982532751092,0.917 (0.878-0.948)
XGBoost,macro_auc,-,0.9836638823314391,0.9716277959639309,0.9935518639992376,0.984 (0.972-0.994)
XGBoost,macro_f1,-,0.8939487179487179,0.846722893549519,0.934915986614753,0.894 (0.847-0.935)
XGBoost,weighted_f1,-,0.9145045347665435,0.8739881494709196,0.9479683187950606,0.915 (0.874-0.948)
XGBoost,sensitivity,对照组,0.9666666666666667,0.9310144346431435,0.9920634920634921,0.967 (0.931-0.992)
XGBoost,specificity,对照组,0.8715596330275229,0.8017567567567568,0.9304347826086956,0.872 (0.802-0.930)
XGBoost,ppv,对照组,0.8923076923076924,0.8333333333333334,0.9412082099026661,0.892 (0.833-0.941)
XGBoost,npv,对照组,0.9595959595959596,0.9175257731958762,0.9904761904761905,0.960 (0.918-0.990)
XGBoost,sensitivity,静止型地贫,0.6976744186046512,0.5587418300653595,0.8298758865248226,0.698 (0.559-0.830)
XGBoost,specificity,静止型地贫,0.9731182795698925,0.9487179487179487,0.9945945945945946,0.973 (0.949-0.995)
XGBoost,ppv,静止型地贫,0.8571428571428571,0.719948717948718,0.9642857142857143,0.857 (0.720-0.964)
XGBoost,npv,静止型地贫,0.9329896907216495,0.8955165273110886,0.9665247849605392,0.933 (0.896-0.967)
XGBoost,sensitivity,非静止型地贫,0.9696969696969697,0.9264705882352942,1.0,0.970 (0.926-1.000)
XGBoost,specificity,非静止型地贫,1.0,1.0,1.0,1.000 (1.000-1.000)
XGBoost,ppv,非静止型地贫,1.0,1.0,1.0,1.000 (1.000-1.000)
XGBoost,npv,非静止型地贫,0.9878787878787879,0.9695121951219512,1.0,0.988 (0.970-1.000)
