Variable,Control (n=455),Silent Thalassemia (n=171),Non-silent Thalassemia (n=259),Iron Deficiency Anemia (n=131),Test Method,P-value,Significant
age,"27.00 [25.00, 30.00]","27.00 [25.00, 31.00]","27.00 [25.00, 31.00]",28.28 (5.38),Kruskal-Wallis H,0.632,No
RBC,"4.20 [3.98, 4.43]",4.45 (0.42),5.07 (0.56),4.15 (0.47),Kruskal-Wallis H,<0.001,Yes
HB,"129.00 [122.00, 135.00]","121.00 [113.00, 130.50]",108.47 (11.27),"102.00 [91.50, 108.00]",Kruskal-Wallis H,<0.001,Yes
HCT,"38.50 [36.80, 40.50]","37.90 [35.70, 40.07]",34.45 (3.45),"32.60 [30.55, 34.45]",Kruskal-Wallis H,<0.001,Yes
MCV,"92.00 [89.30, 94.70]","85.10 [82.50, 87.10]","67.70 [64.30, 71.25]",77.87 (7.05),Kruskal-Wallis H,<0.001,Yes
MCH,"30.70 [29.80, 31.60]",27.38 (1.60),"21.30 [20.20, 22.40]",24.07 (2.88),Kruskal-Wallis H,<0.001,Yes
MCHC,"334.00 [327.00, 340.00]",321.07 (14.61),"315.00 [307.00, 322.00]","309.00 [297.38, 321.00]",Kruskal-Wallis H,<0.001,Yes
RDW-SD,"42.90 [41.40, 45.00]","41.10 [39.10, 43.20]","37.70 [35.70, 40.15]","48.50 [45.65, 51.70]",Kruskal-Wallis H,<0.001,Yes
RDW-CV,"13.00 [12.60, 13.60]","13.30 [12.80, 14.00]","15.40 [14.50, 16.30]","17.10 [15.90, 18.40]",Kruskal-Wallis H,<0.001,Yes
PLT,"193.00 [159.00, 232.50]","196.00 [160.50, 230.50]","217.00 [174.00, 265.00]","219.00 [169.50, 272.00]",Kruskal-Wallis H,<0.001,Yes
PDW,"16.30 [16.00, 16.60]","16.40 [16.20, 16.80]","16.20 [15.80, 16.60]","16.20 [15.80, 16.50]",Kruskal-Wallis H,<0.001,Yes
England & Fraser index (E&F),19.77 (6.04),16.66 (7.05),5.48 (7.29),20.62 (7.42),Kruskal-Wallis H,<0.001,Yes
Green & King index (G&K),"85.38 [79.46, 92.11]","79.55 [72.96, 89.57]","64.28 [59.21, 73.16]","103.98 [93.83, 119.00]",Kruskal-Wallis H,<0.001,Yes
Red Cell Distribution Width index (RDWI),"284.89 [265.23, 308.55]","258.04 [235.09, 276.85]","204.67 [187.43, 228.28]","319.84 [288.95, 360.27]",Kruskal-Wallis H,<0.001,Yes
Ricerca index (RI),"3.12 [2.92, 3.29]","3.04 [2.78, 3.25]","3.02 [2.77, 3.35]","4.05 [3.83, 4.46]",Kruskal-Wallis H,<0.001,Yes
Siridah index (SI),48.98 (4.79),44.38 (5.17),30.57 (5.93),43.90 (6.73),Kruskal-Wallis H,<0.001,Yes
Srivastava formula (SF),7.32 (0.76),6.23 (0.78),"4.20 [3.83, 4.65]",5.90 (1.15),Kruskal-Wallis H,<0.001,Yes
Kandhro 1 formula (KF1),"6.61 [6.41, 6.91]","6.77 [6.52, 7.12]","7.84 [7.40, 8.31]","8.69 [8.08, 9.34]",Kruskal-Wallis H,<0.001,Yes
Shine and Lal(S&L),2599.96 (288.98),"1970.97 [1808.27, 2145.96]","983.09 [836.63, 1118.99]","1469.15 [1157.24, 1702.46]",Kruskal-Wallis H,<0.001,Yes
Mentzer(MI),21.94 (2.19),"19.09 [17.65, 20.64]","13.25 [12.20, 14.85]",19.09 (3.31),Kruskal-Wallis H,<0.001,Yes
