变量,对照组,静止型地贫,非静止型地贫,检验方法,统计量,P值,FDR校正P值
shine,"2618.10[2418.00, 2804.10]","1969.50[1804.28, 2139.65]","972.15[829.45, 1099.38]",Kruskal-Wallis,592.178,<0.001,<0.001
mch,"30.80[29.90, 31.60]","27.30[26.23, 28.30]","21.30[20.20, 22.23]",Kruskal-Wallis,589.042,<0.001,<0.001
MCV,"92.30[89.70, 94.70]","85.00[82.50, 86.93]","67.60[64.07, 70.60]",Kruskal-Wallis,576.488,<0.001,<0.001
Mentzer,"21.90[20.50, 23.40]","19.15[17.68, 20.60]","13.20[12.20, 14.50]",Kruskal-Wallis,507.548,<0.001,<0.001
green,"28.30[25.90, 31.30]","24.50[21.88, 27.32]","15.50[13.90, 18.12]",Kruskal-Wallis,452.216,<0.001,<0.001
RDW-CV,"13.10[12.70, 13.60]","13.25[12.70, 13.90]","15.30[14.50, 16.30]",Kruskal-Wallis,347.783,<0.001,<0.001
HB,"129.00[123.00, 135.00]","120.50[113.00, 130.25]","108.00[102.00, 116.00]",Kruskal-Wallis,335.983,<0.001,<0.001
RBC,"4.20[3.98, 4.43]","4.42[4.19, 4.71]","5.09[4.77, 5.43]",Kruskal-Wallis,315.876,<0.001,<0.001
RDW-SD,"42.90[41.40, 45.10]","40.70[38.98, 42.90]","37.35[35.68, 39.60]",Kruskal-Wallis,312.18,<0.001,<0.001
MCHC,"334.00[327.00, 340.00]","322.00[309.75, 329.00]","315.00[307.00, 322.00]",Kruskal-Wallis,285.557,<0.001,<0.001
HCT,"38.50[36.90, 40.70]","37.70[35.60, 40.05]","34.25[32.13, 36.70]",Kruskal-Wallis,208.148,<0.001,<0.001
PLT,"191.00[157.00, 225.00]","199.50[168.00, 234.50]","217.50[174.00, 265.25]",Kruskal-Wallis,30.432,<0.001,<0.001
PDW,"16.30[16.00, 16.60]","16.40[16.18, 16.80]","16.10[15.80, 16.50]",Kruskal-Wallis,25.114,<0.001,<0.001
age,"27.00[25.00, 30.00]","27.00[25.00, 31.00]","27.00[25.00, 31.00]",Kruskal-Wallis,1.337,0.512,0.512
