Model,Class,Calibration Slope,Calibration Intercept
Multinomial Logistic Regression,Control,1.28,-0.115
Multinomial Logistic Regression,Silent Thalassemia,1.164,-0.043
Multinomial Logistic Regression,Non-silent Thalassemia,0.654,0.094
Multinomial Logistic Regression,Iron Deficiency Anemia,0.658,-0.412
Support Vector Classifier,Control,1.586,-0.657
Support Vector Classifier,Silent Thalassemia,1.225,0.08
Support Vector Classifier,Non-silent Thalassemia,1.209,0.551
Support Vector Classifier,Iron Deficiency Anemia,0.962,-0.377
Decision Tree,Control,0.403,0.44
Decision Tree,Silent Thalassemia,0.301,-0.592
Decision Tree,Non-silent Thalassemia,0.363,0.171
Decision Tree,Iron Deficiency Anemia,0.277,-0.637
Random Forest,Control,1.198,-0.114
Random Forest,Silent Thalassemia,1.169,0.068
Random Forest,Non-silent Thalassemia,1.091,-0.053
Random Forest,Iron Deficiency Anemia,0.954,0.107
XGBoost,Control,1.997,-0.102
XGBoost,Silent Thalassemia,1.686,0.75
XGBoost,Non-silent Thalassemia,2.072,0.398
XGBoost,Iron Deficiency Anemia,1.628,0.985
LightGBM,Control,1.136,-0.215
LightGBM,Silent Thalassemia,1.079,0.121
LightGBM,Non-silent Thalassemia,1.052,-0.371
LightGBM,Iron Deficiency Anemia,0.997,0.363
Multilayer Perceptron,Control,1.138,0.18
Multilayer Perceptron,Silent Thalassemia,0.965,-0.21
Multilayer Perceptron,Non-silent Thalassemia,0.659,0.636
Multilayer Perceptron,Iron Deficiency Anemia,0.516,-0.781
