Bootstrap,Model,Metric,Value
1,Softmax_LR,Accuracy,0.8864628820960698
1,Softmax_LR,Kappa,0.8199467763396637
1,Softmax_LR,Macro_AUC,0.972616778047723
1,Softmax_LR,Macro_F1,0.8763422035480858
1,Softmax_LR,Weighted_F1,0.8913128570205375
1,Softmax_LR,Macro_Sensitivity,0.9029069767441861
1,Softmax_LR,Macro_Specificity,0.9470750715201737
1,Softmax_LR,Class0_Sensitivity,0.825
1,Softmax_LR,Class0_Specificity,0.9541284403669725
1,Softmax_LR,Class1_Sensitivity,0.8837209302325582
1,Softmax_LR,Class1_Specificity,0.8870967741935484
1,Softmax_LR,Class2_Sensitivity,1.0
1,Softmax_LR,Class2_Specificity,1.0
1,Softmax_LR,Class1_AUC,0.948737184296074
1,Softmax_LR,Class1_F1,0.7450980392156863
1,Softmax_LR,Class1_PPV,0.6440677966101694
1,Softmax_LR,Class1_NPV,0.9705882352941176
1,SVM,Accuracy,0.8951965065502183
1,SVM,Kappa,0.8316795295847115
1,SVM,Macro_AUC,0.9725405930993452
1,SVM,Macro_F1,0.8813550838395559
1,SVM,Weighted_F1,0.8994573898259922
1,SVM,Macro_Sensitivity,0.8989429175475688
1,SVM,Macro_Specificity,0.94939331163066
1,SVM,Class0_Sensitivity,0.8666666666666667
1,SVM,Class0_Specificity,0.944954128440367
1,SVM,Class1_Sensitivity,0.8604651162790697
1,SVM,Class1_Specificity,0.9032258064516129
1,SVM,Class2_Sensitivity,0.9696969696969697
1,SVM,Class2_Specificity,1.0
1,SVM,Class1_AUC,0.9473618404601151
1,SVM,Class1_F1,0.7551020408163265
1,SVM,Class1_PPV,0.6727272727272727
1,SVM,Class1_NPV,0.9655172413793104
1,Decision_Tree,Accuracy,0.8995633187772926
1,Decision_Tree,Kappa,0.8357501481273584
1,Decision_Tree,Macro_AUC,0.9528527774145372
1,Decision_Tree,Macro_F1,0.8815088734019185
1,Decision_Tree,Weighted_F1,0.9006203966339957
1,Decision_Tree,Macro_Sensitivity,0.8863695090439276
1,Decision_Tree,Macro_Specificity,0.9461214692052217
1,Decision_Tree,Class0_Sensitivity,0.8916666666666667
1,Decision_Tree,Class0_Specificity,0.908256880733945
1,Decision_Tree,Class1_Sensitivity,0.7674418604651163
1,Decision_Tree,Class1_Specificity,0.9301075268817204
1,Decision_Tree,Class2_Sensitivity,1.0
1,Decision_Tree,Class2_Specificity,1.0
1,Decision_Tree,Class1_AUC,0.9122280570142536
1,Decision_Tree,Class1_F1,0.7415730337078652
1,Decision_Tree,Class1_PPV,0.717391304347826
1,Decision_Tree,Class1_NPV,0.9453551912568307
1,Random_Forest,Accuracy,0.8820960698689956
1,Random_Forest,Kappa,0.8099234529189339
1,Random_Forest,Macro_AUC,0.9682191763537215
1,Random_Forest,Macro_F1,0.8663021189336978
1,Random_Forest,Weighted_F1,0.8853841630674542
1,Random_Forest,Macro_Sensitivity,0.8802325581395349
1,Random_Forest,Macro_Specificity,0.9402189997040544
1,Random_Forest,Class0_Sensitivity,0.85
1,Random_Forest,Class0_Specificity,0.9174311926605505
1,Random_Forest,Class1_Sensitivity,0.7906976744186046
1,Random_Forest,Class1_Specificity,0.9032258064516129
1,Random_Forest,Class2_Sensitivity,1.0
1,Random_Forest,Class2_Specificity,1.0
1,Random_Forest,Class1_AUC,0.9389847461865466
1,Random_Forest,Class1_F1,0.7157894736842105
1,Random_Forest,Class1_PPV,0.6538461538461539
1,Random_Forest,Class1_NPV,0.9491525423728814
1,XGBoost,Accuracy,0.9039301310043668
1,XGBoost,Kappa,0.8447553309503266
1,XGBoost,Macro_AUC,0.9730521315344127
