Metric,Model,Reference,Mean_Difference,CI_2_5,CI_97_5,Bootstrap_P_approx
Macro_AUC,Decision_Tree,XGBoost,-0.018269189927451288,-0.032984911938993874,-0.006379280217607809,0.002
Macro_AUC,LightGBM,XGBoost,0.0020689935863170673,-0.0016135498897659555,0.006262192459429827,0.328
Macro_AUC,MLP,XGBoost,-0.005529097813444189,-0.013979716259339914,0.002525504751570178,0.196
Macro_AUC,Random_Forest,XGBoost,-0.006469839822340908,-0.013478410695946186,-0.0001570963268340609,0.044
Macro_AUC,SVM,XGBoost,-0.003235164897476005,-0.010194807398332752,0.0029832486791422034,0.3
Macro_AUC,Softmax_LR,XGBoost,-0.0030364711781920998,-0.01471577278876299,0.005625527654849604,0.61
Macro_F1,Decision_Tree,XGBoost,-0.012880961277413448,-0.038953547332262306,0.012376278345446974,0.284
Macro_F1,LightGBM,XGBoost,-0.003943340422084901,-0.028207301130286144,0.020294465496017156,0.764
Macro_F1,MLP,XGBoost,0.006550867444825679,-0.019235755604201342,0.03169147498474625,0.636
Macro_F1,Random_Forest,XGBoost,-0.014605276799356214,-0.032129730368436235,0.0,0.084
Macro_F1,SVM,XGBoost,-0.020410849605738725,-0.05147303016432038,0.008690101871514484,0.192
Macro_F1,Softmax_LR,XGBoost,-0.011102216945753553,-0.04108853898022001,0.0176985926150495,0.468
Class1_AUC,Decision_Tree,XGBoost,-0.03396261565391349,-0.06122155538884708,-0.01187484371092761,0.002
Class1_AUC,LightGBM,XGBoost,0.003900100025006247,-0.0030007501875468634,0.0117529382345587,0.324
Class1_AUC,MLP,XGBoost,-0.012895473868467126,-0.030016879219804938,0.0037509377344335793,0.148
Class1_AUC,Random_Forest,XGBoost,-0.013599274818704682,-0.02738184546136535,-0.0010002500625156951,0.032
Class1_AUC,SVM,XGBoost,-0.008209177294323591,-0.022883845961490415,0.004504251062765652,0.204
Class1_AUC,Softmax_LR,XGBoost,-0.005935483870967747,-0.028257064266066556,0.010383845961490468,0.596
Class1_Sensitivity,Decision_Tree,XGBoost,-0.07067441860465117,-0.16279069767441856,0.0,0.096
Class1_Sensitivity,LightGBM,XGBoost,-0.06923255813953487,-0.16279069767441856,0.0,0.084
Class1_Sensitivity,MLP,XGBoost,0.0485813953488372,-0.046511627906976716,0.13953488372093026,0.414
Class1_Sensitivity,Random_Forest,XGBoost,-0.024093023255813955,-0.06976744186046513,0.0,0.696
Class1_Sensitivity,SVM,XGBoost,-0.00046511627906976785,-0.09302325581395354,0.09302325581395354,1.174
Class1_Sensitivity,Softmax_LR,XGBoost,0.02448837209302325,-0.06976744186046513,0.11627906976744184,0.76
Class1_F1,Decision_Tree,XGBoost,-0.03154656549292264,-0.08918150810908844,0.021548763736263743,0.246
Class1_F1,LightGBM,XGBoost,-0.014003253818587214,-0.0665090723230258,0.0372873402345416,0.636
Class1_F1,MLP,XGBoost,0.016628690336287052,-0.03863863553564238,0.07272727272727275,0.592
Class1_F1,Random_Forest,XGBoost,-0.030024216038555256,-0.06674234481026169,0.0,0.084
Class1_F1,SVM,XGBoost,-0.032800282208095215,-0.09468856779709617,0.02750240941647353,0.286
Class1_F1,Softmax_LR,XGBoost,-0.018585213600670347,-0.08248539093600074,0.04317612605180668,0.57
