Variable,Group 0,Group 1,Group 2,Test,P_value
age,"27.000 [25.000, 30.000]","27.000 [25.000, 31.000]","27.000 [25.000, 31.000]",Kruskal-Wallis,0.5124705282808358
RBC,"4.200 [3.980, 4.430]","4.415 [4.188, 4.713]","5.095 [4.768, 5.430]",Kruskal-Wallis,2.560453167328103e-69
HB,"129.000 [123.000, 135.000]","120.500 [113.000, 130.250]","108.000 [102.000, 116.000]",Kruskal-Wallis,1.1022436244846029e-73
HCT,"38.500 [36.900, 40.700]","37.700 [35.600, 40.055]","34.250 [32.130, 36.700]",Kruskal-Wallis,6.328483817767174e-46
MCV,"92.300 [89.700, 94.700]","85.000 [82.500, 86.925]","67.600 [64.075, 70.600]",Kruskal-Wallis,6.565389192640868e-126
mch,"30.800 [29.900, 31.600]","27.300 [26.230, 28.300]","21.300 [20.200, 22.225]",Kruskal-Wallis,1.233832730263907e-128
MCHC,"334.000 [327.000, 340.000]","322.000 [309.750, 329.000]","315.000 [307.000, 322.000]",Kruskal-Wallis,9.818115568901457e-63
RDW-SD,"42.900 [41.400, 45.100]","40.700 [38.975, 42.900]","37.350 [35.675, 39.600]",Kruskal-Wallis,1.6257858982825456e-68
RDW-CV,"13.100 [12.700, 13.600]","13.250 [12.700, 13.900]","15.300 [14.500, 16.300]",Kruskal-Wallis,3.0191568850740355e-76
PLT,"191.000 [157.000, 225.000]","199.500 [168.000, 234.500]","217.500 [174.000, 265.250]",Kruskal-Wallis,2.464545481189815e-07
PDW,"16.300 [16.000, 16.600]","16.400 [16.175, 16.800]","16.100 [15.800, 16.500]",Kruskal-Wallis,3.52024792278178e-06
shine,"2618.100 [2418.000, 2804.100]","1969.500 [1804.275, 2139.650]","972.150 [829.450, 1099.375]",Kruskal-Wallis,2.571106839168588e-129
Mentzer,"21.900 [20.500, 23.400]","19.150 [17.675, 20.600]","13.200 [12.200, 14.500]",Kruskal-Wallis,6.1292752207413475e-111
green,"28.300 [25.900, 31.300]","24.500 [21.875, 27.325]","15.500 [13.900, 18.125]",Kruskal-Wallis,6.345111270377363e-99
FEr,"58.900 [40.100, 86.500]","56.850 [36.700, 83.575]","58.550 [38.300, 84.375]",Kruskal-Wallis,0.45133790704418886
